user_id,device_type,traffic_source,country,first_seen_utc,step1_app_open_utc,step2_content_view_utc,step3_ad_view_utc,step4_ad_click_utc,step5_purchase_utc,completed_step1_app_open,completed_step2_content_view,completed_step3_ad_view,completed_step4_ad_click,completed_step5_purchase,order_value_usd,revenue_usd,currency,seconds_to_purchase
u002283,mobile,paid_social,US,2025-11-08 12:35:51,2025-11-08 12:35:51,2025-11-08 12:49:02,2025-11-08 12:56:12,,,1,1,1,0,0,0.0,0.0,USD,
u001006,mobile,creator_link,US,2025-11-08 12:55:29,2025-11-08 12:55:29,2025-11-08 13:05:31,2025-11-08 13:25:24,2025-11-08 13:30:59,,1,1,1,1,0,0.0,0.0,USD,
u000302,mobile,organic,DE,2025-11-08 13:11:14,2025-11-08 13:11:14,2025-11-08 13:22:57,2025-11-08 13:30:42,,,1,1,1,0,0,0.0,0.0,USD,
u000906,desktop,paid_social,US,2025-11-08 13:25:44,2025-11-08 13:25:44,2025-11-08 13:36:47,,,,1,1,0,0,0,0.0,0.0,USD,
u001363,mobile,organic,US,2025-11-08 13:56:39,2025-11-08 13:56:39,2025-11-08 14:08:47,2025-11-08 14:16:04,,,1,1,1,0,0,0.0,0.0,USD,
u001754,desktop,organic,US,2025-11-08 14:46:43,2025-11-08 14:46:43,,,,,1,0,0,0,0,0.0,0.0,USD,
u002838,mobile,creator_link,BR,2025-11-08 15:13:07,2025-11-08 15:13:07,2025-11-08 15:23:33,,,,1,1,0,0,0,0.0,0.0,USD,
u000741,mobile,organic,AU,2025-11-08 15:26:14,2025-11-08 15:26:14,2025-11-08 15:36:11,2025-11-08 15:37:17,,,1,1,1,0,0,0.0,0.0,USD,
u000984,mobile,email,US,2025-11-08 15:34:05,2025-11-08 15:34:05,2025-11-08 15:43:02,2025-11-08 15:45:05,,,1,1,1,0,0,0.0,0.0,USD,
u002630,mobile,referral,UK,2025-11-08 16:24:28,2025-11-08 16:24:28,2025-11-08 16:34:24,2025-11-08 16:43:19,,,1,1,1,0,0,0.0,0.0,USD,
